UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4 
165255,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",0,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
165264,1,1,-2,0,0,0,4,-2,-2,30,1,1,1,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,3,3,1,2,1,3,3,1,3,2,"R",9,"R",102,"R",6,"R",63,"R",0,"R",10,"R",2,"R",16,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",2,"R",26,"R",28,"R",111,"R",69,"R",10,"R",18,1,0,0,1,0
165334,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,1,1,1,1,-2,-2,-2,0,1,0,0,2,1,2,1,1,1,3,1,1,4,2,"R",2262,"R",3037,"R",1173,"R",1815,"R",240,"R",348,"R",2,"R",1,2,"R",523,"R",88,"R",144,"R",24,"R",550,"R",660,"R",540,"R",650,"B",.,"B",.,"R",24,"R",28,"R",24,"R",30,"R",22,"R",28,"B",.,"B",.,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,186,1,186,1,186,-2,1,"R",55,"R",50,"A",.,1,1,1,-2,1,1,1,-2,2,1,"R",1813,2,"A",.,"R",3900,"R",2750,"A",.,1,"R",242,"R",349,"R",591,"R",5299,"R",2988,"R",588,"R",3,1,0,1,1,0
165495,1,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,0,0,1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"A",.,"R",50,"A",.,2,2,1,2,2,2,2,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,2,0,0,0,0
165529,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,1,0,1,0,-2,-2,-2,0,0,0,0,2,1,2,1,1,1,3,1,1,4,2,"R",1799,"R",2146,"R",1164,"R",1492,"R",274,"R",314,"R",0,"R",0,2,"R",424,"R",72,"R",0,"R",0,"R",468,"R",585,"R",471,"R",550,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,184,1,168,1,168,1,168,-2,1,"R",50,"R",50,"A",.,1,1,1,-2,1,1,1,-2,2,1,"R",1423,1,"R",17,"R",5920,"R",5070,"A",.,2,"R",274,"R",314,"R",588,"R",3945,"R",2656,"R",588,"R",0,1,0,0,1,0
165556,1,1,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",50,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
165574,1,1,0,0,0,0,3,-2,-2,-2,1,1,1,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,1,2,1,2,1,2,1,2,4,2,"R",1357,"R",947,"R",909,"R",690,"R",320,"R",240,"R",85,"R",226,2,"R",471,"R",1,"R",80,"R",0,"R",390,"R",490,"R",380,"R",490,"B",.,"B",.,"R",15,"R",18,"R",12,"R",18,"R",14,"R",18,"B",.,"B",.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",35,"A",.,"B",.,1,1,2,-2,1,1,2,-2,2,1,"R",916,1,"R",21,"R",7346,"R",4270,"A",.,2,"R",405,"R",466,"R",871,"R",2304,"R",1599,"R",560,"R",311,1,0,0,1,0
165608,1,1,-2,0,0,0,1,8,2,-2,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,3,3,1,2,1,3,3,3,1,2,"R",25,"R",100,"R",10,"R",55,"R",9,"R",37,"R",1,"R",18,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",25,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",10,"R",55,"R",65,"R",125,"R",65,"R",46,"R",19,2,0,0,0,0
165635,1,0,-2,0,0,0,2,-2,-2,-2,0,0,0,1,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,7,"R",0,"A",.,"A",.,1,1,-2,-2,2,2,-2,-2,-2,1,"R",80,3,"A",.,"R",4800,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,1,0
165644,1,1,0,0,0,0,4,-2,-2,59,1,0,1,0,1,0,1,0,0,0,0,0,-2,-2,-2,2,1,2,1,2,1,3,1,1,4,2,"R",288,"R",550,"R",172,"R",336,"R",71,"R",100,"R",1,"R",0,2,"R",156,"R",90,"R",25,"R",14,"R",440,"R",560,"R",420,"R",570,"R",430,"R",570,"R",20,"R",27,"R",20,"R",27,"R",22,"R",31,"B",.,"B",.,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,4,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,168,1,168,1,168,-2,4,"R",0,"R",50,"A",.,1,1,1,2,1,1,1,2,2,1,"R",686,1,"R",20,"A",.,"A",.,"R",7912,2,"R",72,"R",100,"R",172,"R",838,"R",508,"R",171,"R",1,1,0,0,1,0
165662,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,1,0,1,0,1,0,0,0,-2,-2,-2,2,2,2,1,1,1,3,1,1,3,2,"R",2291,"R",4540,"R",903,"R",1620,"R",307,"R",466,"R",1,"R",0,2,"R",701,"R",90,"R",243,"R",31,"R",580,"R",680,"R",550,"R",640,"R",580,"R",670,"R",25,"R",29,"R",25,"R",31,"R",23,"R",28,"R",25,"R",29,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,174,1,174,1,174,-2,1,"R",65,"R",60,"A",.,1,1,1,2,1,1,1,2,2,1,"R",1644,2,"A",.,"A",.,"A",.,"R",11868,2,"R",308,"R",466,"R",776,"R",6831,"R",2523,"R",775,"R",1,1,0,0,1,0
165671,0,1,1,0,0,0,4,-2,-2,30,0,0,0,0,1,1,1,1,0,0,0,0,-2,-2,-2,2,1,1,1,1,1,3,1,1,3,2,"R",1332,"R",3599,"R",641,"R",2120,"R",131,"R",343,"Z",0,"Z",0,2,"R",463,"R",98,"R",81,"R",17,"R",490,"R",590,"R",480,"R",580,"B",.,"B",.,"R",20,"R",24,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,174,2,-2,1,174,-2,1,"R",40,"R",50,"A",.,1,1,1,2,1,2,1,2,2,1,"R",1220,1,"R",19,"A",.,"A",.,"R",11800,2,"R",131,"R",343,"R",474,"R",4931,"R",2761,"R",474,"Z",0,1,0,0,1,0
165680,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",100,"A",.,"A",.,1,1,-2,-2,1,1,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
165699,0,1,0,0,0,0,3,-2,-2,-2,1,0,1,0,1,0,1,0,-2,-2,-2,0,0,0,0,2,1,2,1,1,1,2,1,1,3,1,"R",1245,"R",2304,"R",659,"R",1050,"R",191,"R",329,"R",0,"R",3,1,"R",518,"R",99,"R",112,"R",22,"R",490,"R",580,"R",490,"R",590,"R",490,"R",570,"R",21,"R",24,"R",20,"R",25,"R",20,"R",25,"R",490,"R",570,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,184,1,168,1,168,1,168,-2,1,"R",40,"R",50,"A",.,1,1,1,-2,1,1,1,-2,2,1,"R",1689,2,"A",.,"R",7930,"R",3450,"A",.,2,"R",191,"R",332,"R",523,"R",3549,"R",1709,"R",520,"R",3,1,0,0,1,0
165705,0,1,1,0,0,0,4,-2,-2,73,0,0,0,0,0,1,1,0,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"A",.,"R",50,"R",50,2,2,1,1,2,2,1,1,2,1,"R",34,1,"R",15,"R",5845,"R",1050,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0
165750,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",100,"A",.,"A",.,1,1,-2,-2,2,2,-2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,1,0
165802,1,1,0,0,0,0,3,-2,-2,-2,0,1,1,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,1,3,1,2,2,3,2,2,3,2,"R",730,"R",1299,"R",447,"R",804,"R",113,"R",150,"R",0,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,1,357,1,357,2,-2,-2,1,"R",50,"A",.,"B",.,1,1,2,-2,1,1,2,-2,2,1,"R",328,2,"A",.,"A",.,"A",.,"R",12250,2,"R",113,"R",150,"R",263,"R",2029,"R",1251,"R",263,"R",0,1,0,0,1,0
165820,0,1,0,0,0,0,1,2,0,-2,1,0,0,0,1,1,1,1,0,0,0,0,-2,-2,-2,2,1,3,1,1,2,3,1,1,3,1,"R",1513,"R",1878,"R",948,"R",1282,"R",332,"R",367,"R",4,"R",5,1,"R",683,"R",98,"R",56,"R",8,"R",440,"R",560,"R",460,"R",560,"B",.,"B",.,"R",17,"R",23,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,184,1,179,1,179,1,179,-2,1,"R",10,"R",25,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1540,2,"A",.,"R",4448,"R",2700,"A",.,2,"R",336,"R",372,"R",708,"R",3391,"R",2230,"R",699,"R",9,1,0,0,1,0
165866,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,0,-2,-2,-2,0,0,0,0,2,1,2,1,1,2,1,1,1,1,2,"R",1488,"R",2831,"R",741,"R",1678,"R",193,"R",450,"R",6,"R",2,2,"R",587,"R",90,"R",0,"Z",0,"R",470,"R",560,"R",470,"R",560,"B",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,184,1,179,1,179,1,179,-2,1,"R",25,"R",50,"A",.,1,1,1,-2,1,1,1,-2,1,1,"R",1543,1,"R",19,"R",4875,"R",2750,"A",.,2,"R",199,"R",452,"R",651,"R",4319,"R",2419,"R",643,"R",8,1,0,0,1,0
165884,0,1,0,0,0,0,3,-2,-2,-2,0,1,1,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,"R",25,"A",.,"B",.,1,1,2,-2,1,1,2,-2,2,1,"R",42,1,"R",21,"A",.,"A",.,"R",5600,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,1,0
165936,0,1,0,0,0,0,4,-2,-2,42,0,0,0,0,1,0,1,0,0,0,0,0,-2,-2,-2,2,1,2,1,1,1,2,1,1,4,2,"R",531,"R",1039,"R",371,"R",745,"R",161,"R",260,"R",0,"R",0,2,"R",374,"R",89,"R",96,"R",23,"R",530,"R",650,"R",520,"R",620,"R",530,"R",650,"R",23,"R",29,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,168,1,168,1,168,-2,1,"R",50,"R",50,"A",.,1,1,1,2,1,2,1,2,2,1,"R",1382,1,"R",21,"R",4924,"R",2500,"A",.,1,"R",161,"R",260,"R",421,"R",1570,"R",1116,"R",421,"R",0,1,0,0,1,0
