UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL12,LEVEL17,LEVEL18,LEVEL19,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,XACTWR25,ACTWR25,XACTWR75,ACTWR75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,CALSYS,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,FT_UG,FT_FTUG,FT_GD,PT_UG,PT_FTUG,PT_GD,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT,TUITPL,TUITPL1,TUITPL2,TUITPL3,TUITPL4,DISAB,XDISABPC,DISABPCT,DISTNCED
169983,0,1,1,0,0,0,3,-2,-2,-2,0,0,0,0,1,1,1,0,0,0,0,0,2,1,2,1,2,2,3,1,1,3,1,"R",1734,"R",912,"R",1223,"R",473,"R",215,"R",62,"R",0,"R",0,1,"R",73,"R",26,"R",253,"R",91,"R",560,"R",680,"R",600,"R",700,"B",.,"B",.,"R",24,"R",30,"R",23,"R",30,"R",26,"R",31,"B",.,"B",.,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",35,"B",.,1,1,1,1,2,1,2,1,"R",548,1,"R",19,"R",4120,"R",2510,"A",.,1,"R",215,"R",62,"R",277,"R",2646,"R",1696,"R",277,"R",0,1,0,0,1,0,2,"R",8,2
169992,1,1,-2,1,0,0,1,2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",10,"A",.,1,1,2,1,1,2,1,1,"R",96,3,"A",.,"R",4004,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",7,2
170000,0,1,0,0,0,0,4,-2,-2,79,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,1,3,1,3,2,1,3,2,"R",85,"R",98,"R",71,"R",77,"R",43,"R",33,"R",2,"R",0,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,1,0,0,0,0,1,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,2,1,"R",120,1,"R",20,"R",3150,"R",3700,"A",.,2,"R",45,"R",33,"R",78,"R",183,"R",148,"R",76,"R",2,1,0,0,1,0,1,"A",.,2
170037,0,1,1,0,0,0,4,-2,-2,42,0,1,1,0,1,0,1,0,0,0,0,0,2,1,3,1,2,1,3,1,1,3,2,"R",674,"R",1388,"R",411,"R",882,"R",125,"R",204,"R",0,"R",1,2,"R",36,"R",11,"R",305,"R",93,"R",500,"R",620,"R",480,"R",612,"R",517,"R",612,"R",21,"R",27,"R",19,"R",26,"R",20,"R",27,"B",.,"B",.,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,307,2,-2,1,307,1,"R",25,"R",25,1,1,1,1,1,1,2,1,"R",808,1,"R",20,"A",.,"A",.,"R",7314,2,"R",125,"R",205,"R",330,"R",2062,"R",1293,"R",329,"R",1,1,0,0,1,0,1,"A",.,2
170046,1,0,-2,0,0,0,2,-2,-2,-2,0,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,"R",0,"A",.,1,1,-2,2,2,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170055,1,1,-2,1,1,0,1,2,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",4,2
170082,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,0,0,1,0,2,1,2,1,1,3,3,1,1,3,2,"R",6388,"R",10309,"R",5121,"R",8756,"R",1473,"R",2380,"R",9,"R",3,2,"R",142,"R",4,"R",3791,"R",98,"R",470,"R",600,"R",510,"R",620,"R",530,"R",580,"R",21,"R",26,"R",21,"R",26,"R",20,"R",26,"R",7,"R",8,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,144,1,144,1,144,1,144,1,"R",30,"R",30,1,1,1,1,1,1,1,1,"R",5675,2,"A",.,"R",5344,"R",2430,"A",.,2,"R",1482,"R",2383,"R",3877,"R",16701,"R",13878,"R",3865,"R",12,1,0,0,1,0,1,"A",.,2
170091,0,1,0,0,0,0,4,-2,-2,48,0,0,1,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,0,0,0,0,1,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"A",.,1,1,2,1,1,2,2,1,"R",151,1,"R",17,"A",.,"A",.,"R",8200,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,2,"R",9,2
170240,1,1,-2,1,0,0,1,4,0,-2,1,1,1,1,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",30,"A",.,1,1,2,1,1,2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,0,1,0,1,"A",.,2
170301,0,1,0,0,0,0,4,-2,-2,49,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,3,1,1,3,2,"R",1368,"R",2207,"R",1067,"R",1873,"R",320,"R",527,"R",1,"R",0,2,"R",139,"R",17,"R",751,"R",92,"R",530,"R",670,"R",530,"R",650,"B",.,"B",.,"R",24,"R",29,"R",23,"R",30,"R",23,"R",29,"B",.,"B",.,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,180,1,180,1,180,1,180,1,"R",50,"A",.,1,1,2,1,1,2,2,1,"R",2467,1,"R",21,"R",3780,"R",4480,"A",.,2,"R",321,"R",527,"R",848,"R",3575,"R",2940,"R",847,"R",1,1,0,0,1,0,1,"A",.,2
170417,0,1,0,0,0,0,2,-2,-2,-2,0,0,1,0,1,0,0,0,0,0,0,0,2,3,3,1,3,3,3,3,1,3,2,"R",167,"R",52,"R",134,"R",44,"R",39,"R",13,"R",6,"R",2,3,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,2,"B",.,"A",.,1,1,2,1,1,2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"R",45,"R",15,"R",60,"R",219,"R",178,"R",52,"R",8,2,0,0,0,0,1,"A",.,2
170444,1,1,-2,1,1,0,1,5,2,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,"R",0,"A",.,1,1,2,1,1,2,1,1,"R",192,3,"A",.,"R",5940,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170514,1,0,-2,0,0,0,2,-2,-2,-2,1,1,0,0,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,0,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,"R",35,"A",.,1,1,-2,1,1,-2,-2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,0,0,1,0,1,"A",.,2
170532,0,1,0,0,0,0,3,-2,-2,-2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,3,1,1,1,2,1,1,3,2,"R",912,"R",1313,"R",596,"R",935,"R",151,"R",220,"R",0,"R",0,2,"R",114,"R",31,"R",319,"R",86,"R",560,"R",680,"R",550,"R",670,"R",540,"R",660,"R",25,"R",30,"R",26,"R",31,"R",25,"R",29,"R",8,"R",9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,180,1,180,1,180,1,180,2,"R",40,"A",.,1,1,2,1,2,2,2,1,"R",876,1,"R",20,"R",3939,"R",4140,"A",.,1,"R",151,"R",220,"R",371,"R",2225,"R",1531,"R",371,"R",0,2,0,0,0,0,1,"A",.,2
